Price,Date,Close,High,Low,Open,Volume
Ticker,,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS
190,2008-10-07,4.789026737213135,5.746832084655761,4.789026737213135,5.746832084655761,26318
191,2008-10-08,4.789026737213135,4.789026737213135,4.310124063491821,4.789026737213135,18429
192,2008-10-10,4.310123443603516,4.789026048448351,3.8312208387586804,3.8312208387586804,19454
193,2008-10-13,4.789026737213135,4.789026737213135,4.310124063491821,4.789026737213135,13420
194,2008-10-14,4.789026737213135,5.267929410934448,4.310124063491821,4.789026737213135,11251
195,2008-10-15,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,10879
196,2008-10-16,4.310123443603516,4.789026048448351,3.8312208387586804,4.310123443603516,17716
197,2008-10-17,4.789026737213135,4.789026737213135,4.310124063491821,4.789026737213135,4932
198,2008-10-20,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,12103
199,2008-10-21,4.310123443603516,4.789026048448351,3.8312208387586804,4.310123443603516,17553
200,2008-10-22,4.310123443603516,4.789026048448351,3.8312208387586804,4.789026048448351,18852
201,2008-10-23,3.831220865249634,4.310123473405838,3.831220865249634,3.831220865249634,23477
202,2008-10-24,4.310123443603516,4.310123443603516,3.8312208387586804,4.310123443603516,24644
203,2008-10-27,4.310123443603516,4.310123443603516,3.8312208387586804,3.8312208387586804,12020
204,2008-10-29,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,5609
205,2008-10-31,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,7886
206,2008-11-03,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,9240
207,2008-11-04,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,4980
208,2008-11-05,4.310123443603516,4.789026048448351,4.310123443603516,4.789026048448351,11445
209,2008-11-06,4.789026737213135,4.789026737213135,4.310124063491821,4.789026737213135,17726
210,2008-11-07,4.789026737213135,5.267929410934448,4.310124063491821,4.789026737213135,3152
211,2008-11-10,4.789026737213135,5.267929410934448,4.310124063491821,4.310124063491821,2992
212,2008-11-11,4.310123443603516,4.789026048448351,4.310123443603516,4.310123443603516,8183
213,2008-11-12,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,14615
214,2008-11-14,4.310123443603516,4.789026048448351,4.310123443603516,4.789026048448351,5674
215,2008-11-17,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,1433
216,2008-11-18,4.789026737213135,4.789026737213135,4.310124063491821,4.310124063491821,3147
